title,category,material,weight,price,origin_location,eco_score,emission_factor
samsung galaxy s24 ultra variant 39,mobiles,"aluminum, recycled plastic, glass",0.25,1405.2,san jose,6.38,5.95
patagonia better sweater variant 40,fashion,recycled polyester (rpet),0.72,104.59,denver,5.7,4.28
instant pot duo variant 41,appliances,"stainless steel, plastic (abs, pvc)",5.0,129.13,boston,5.29,8.83
levi’s 511 jeans variant 42,fashion,regular cotton,0.56,89.37,san francisco,7.31,3.8
dell xps 13 variant 43,laptops,"aluminum, carbon fiber",1.23,1270.5,austin,4.68,8.83
hp spectre x360 variant 44,laptops,"aluminum, recycled plastic",1.66,1616.85,boston,6.33,6.76
dyson purifier cool tp09 variant 45,appliances,"aluminum, plastic (abs, pvc)",3.68,408.93,chicago,4.85,9.4
instant pot duo variant 46,appliances,"stainless steel, plastic (abs, pvc)",4.5,149.7,boston,5.49,8.36
patagonia better sweater variant 47,fashion,recycled polyester (rpet),0.79,105.78,denver,5.65,3.72
lego classic bricks box variant 48,kids & baby,recycled plastic,1.48,61.22,los angeles,6.17,4.65
google pixel 8 pro variant 49,mobiles,"recycled plastic, glass",0.25,939.3,mountain view,6.68,5.35
levi’s 511 jeans variant 50,fashion,regular cotton,0.51,84.87,san francisco,6.66,3.74
dell xps 13 variant 51,laptops,"aluminum, carbon fiber",1.4,1087.97,austin,5.31,8.5
ninja air fryer max xl variant 52,appliances,"recycled plastic, stainless steel",4.28,143.42,seattle,6.52,5.83
allbirds tree runners variant 53,fashion,hemp,0.47,75.5,san francisco,10.12,2.02
melissa & doug wooden blocks variant 54,kids & baby,wood,2.12,42.3,denver,7.69,2.77
apple iphone 15 pro variant 55,mobiles,"aluminum, glass",0.2,782.47,cupertino,6.71,6.34
dell xps 13 variant 56,laptops,"aluminum, carbon fiber",1.01,1104.23,austin,4.69,8.69
patagonia better sweater variant 57,fashion,recycled polyester (rpet),0.8,93.21,denver,5.67,3.45
apple iphone 15 pro variant 58,mobiles,"aluminum, glass",0.19,873.33,cupertino,6.18,6.41
ninja air fryer max xl variant 59,appliances,"recycled plastic, stainless steel",5.14,118.99,seattle,6.09,6.13
instant pot duo variant 60,appliances,"stainless steel, plastic (abs, pvc)",4.3,120.26,boston,4.7,7.96
patagonia better sweater variant 61,fashion,recycled polyester (rpet),0.83,129.01,denver,5.93,3.59
levi’s 511 jeans variant 62,fashion,regular cotton,0.69,99.12,san francisco,7.29,3.85
instant pot duo variant 63,appliances,"stainless steel, plastic (abs, pvc)",4.44,150.86,boston,4.51,8.11
ninja air fryer max xl variant 64,appliances,"recycled plastic, stainless steel",4.62,100.75,seattle,6.95,5.85
apple iphone 15 pro variant 65,mobiles,"aluminum, glass",0.15,928.13,cupertino,6.93,6.86
levi’s 511 jeans variant 66,fashion,regular cotton,0.68,103.43,san francisco,6.99,3.58
melissa & doug wooden blocks variant 67,kids & baby,wood,2.25,35.22,denver,7.6,2.5
samsung galaxy s24 ultra variant 68,mobiles,"aluminum, recycled plastic, glass",0.26,1278.0,san jose,6.34,6.08
apple iphone 15 pro variant 69,mobiles,"aluminum, glass",0.15,1242.87,cupertino,6.54,6.49
dell xps 13 variant 70,laptops,"aluminum, carbon fiber",1.18,859.96,austin,4.87,8.06
apple macbook air m3 variant 71,laptops,"aluminum, glass",1.03,1576.29,cupertino,6.54,6.49
samsung galaxy s24 ultra variant 72,mobiles,"aluminum, recycled plastic, glass",0.22,1005.26,san jose,6.64,5.73
instant pot duo variant 73,appliances,"stainless steel, plastic (abs, pvc)",3.89,129.43,boston,4.53,8.83
apple iphone 15 pro variant 74,mobiles,"aluminum, glass",0.18,979.64,cupertino,6.27,6.79
dyson purifier cool tp09 variant 75,appliances,"aluminum, plastic (abs, pvc)",5.14,623.44,chicago,4.63,8.77
apple iphone 15 pro variant 76,mobiles,"aluminum, glass",0.19,1260.49,cupertino,7.03,6.85
ninja air fryer max xl variant 77,appliances,"recycled plastic, stainless steel",5.42,135.6,seattle,6.48,6.11
levi’s 511 jeans variant 78,fashion,regular cotton,0.67,81.79,san francisco,6.65,3.34
apple macbook air m3 variant 79,laptops,"aluminum, glass",1.11,911.38,cupertino,6.93,7.03
hp spectre x360 variant 80,laptops,"aluminum, recycled plastic",1.24,1686.36,boston,6.05,6.49
ninja air fryer max xl variant 81,appliances,"recycled plastic, stainless steel",5.3,127.41,seattle,6.7,6.23
google pixel 8 pro variant 82,mobiles,"recycled plastic, glass",0.23,725.41,mountain view,6.15,5.61
dell xps 13 variant 83,laptops,"aluminum, carbon fiber",1.04,1030.58,austin,5.26,8.85
green toys dump truck variant 84,kids & baby,recycled plastic,1.08,34.73,san diego,5.8,5.47
ninja air fryer max xl variant 85,appliances,"recycled plastic, stainless steel",5.5,151.01,seattle,6.77,5.74
hp spectre x360 variant 86,laptops,"aluminum, recycled plastic",1.41,1570.51,boston,5.56,6.73
apple iphone 15 pro variant 87,mobiles,"aluminum, glass",0.22,999.41,cupertino,6.87,6.83
hp spectre x360 variant 88,laptops,"aluminum, recycled plastic",1.23,1315.31,boston,6.25,6.73
lego classic bricks box variant 89,kids & baby,recycled plastic,2.02,39.71,los angeles,6.1,4.95
samsung galaxy s24 ultra variant 90,mobiles,"aluminum, recycled plastic, glass",0.27,1258.72,san jose,6.38,6.31
levi’s 511 jeans variant 91,fashion,regular cotton,0.62,72.86,san francisco,6.91,3.35
green toys dump truck variant 92,kids & baby,recycled plastic,0.98,41.55,san diego,6.38,5.45
levi’s 511 jeans variant 93,fashion,regular cotton,0.7,94.29,san francisco,6.54,4.13
dell xps 13 variant 94,laptops,"aluminum, carbon fiber",1.14,1086.95,austin,4.97,8.13
patagonia better sweater variant 95,fashion,recycled polyester (rpet),0.77,161.31,denver,5.71,3.99
allbirds tree runners variant 96,fashion,hemp,0.58,76.06,san francisco,10.11,1.66
samsung galaxy s24 ultra variant 97,mobiles,"aluminum, recycled plastic, glass",0.26,1537.91,san jose,6.84,5.85
patagonia better sweater variant 98,fashion,recycled polyester (rpet),0.73,97.26,denver,6.38,4.04
lego classic bricks box variant 99,kids & baby,recycled plastic,1.65,51.84,los angeles,6.08,4.98
dell xps 13 variant 100,laptops,"aluminum, carbon fiber",1.4,1554.06,austin,4.73,8.76
hp spectre x360 variant 101,laptops,"aluminum, recycled plastic",1.43,1661.65,boston,6.15,6.99
lego classic bricks box variant 102,kids & baby,recycled plastic,1.66,61.12,los angeles,5.75,4.97
hp spectre x360 variant 103,laptops,"aluminum, recycled plastic",1.16,1674.6,boston,5.87,6.51
dell xps 13 variant 104,laptops,"aluminum, carbon fiber",1.0,895.85,austin,5.02,8.1
apple macbook air m3 variant 105,laptops,"aluminum, glass",1.24,1282.75,cupertino,6.74,7.09
instant pot duo variant 106,appliances,"stainless steel, plastic (abs, pvc)",3.94,165.04,boston,4.84,8.21
levi’s 511 jeans variant 107,fashion,regular cotton,0.65,111.1,san francisco,7.2,3.7
levi’s 511 jeans variant 108,fashion,regular cotton,0.67,108.4,san francisco,7.44,3.85
apple iphone 15 pro variant 109,mobiles,"aluminum, glass",0.17,1164.88,cupertino,6.34,6.51
apple iphone 15 pro variant 110,mobiles,"aluminum, glass",0.18,1250.62,cupertino,6.22,7.0
allbirds tree runners variant 111,fashion,hemp,0.53,119.48,san francisco,9.53,2.35
hp spectre x360 variant 112,laptops,"aluminum, recycled plastic",1.5,1368.09,boston,5.51,6.72
apple macbook air m3 variant 113,laptops,"aluminum, glass",1.18,1437.41,cupertino,6.07,6.98
dell xps 13 variant 114,laptops,"aluminum, carbon fiber",1.13,1323.09,austin,4.83,8.87
google pixel 8 pro variant 115,mobiles,"recycled plastic, glass",0.17,744.18,mountain view,6.26,5.05
melissa & doug wooden blocks variant 116,kids & baby,wood,2.92,62.51,denver,8.28,2.81
apple iphone 15 pro variant 117,mobiles,"aluminum, glass",0.18,1224.88,cupertino,6.4,6.58
melissa & doug wooden blocks variant 118,kids & baby,wood,2.34,56.35,denver,7.99,2.39
green toys dump truck variant 119,kids & baby,recycled plastic,1.16,38.12,san diego,5.58,5.11
instant pot duo variant 120,appliances,"stainless steel, plastic (abs, pvc)",4.77,160.18,boston,5.07,8.52
green toys dump truck variant 121,kids & baby,recycled plastic,1.16,24.99,san diego,5.58,5.34
green toys dump truck variant 122,kids & baby,recycled plastic,1.43,36.58,san diego,5.94,4.77
melissa & doug wooden blocks variant 123,kids & baby,wood,2.67,62.26,denver,7.76,2.31
allbirds tree runners variant 124,fashion,hemp,0.41,90.85,san francisco,9.66,1.81
dyson purifier cool tp09 variant 125,appliances,"aluminum, plastic (abs, pvc)",4.35,395.44,chicago,4.85,8.66
samsung galaxy s24 ultra variant 126,mobiles,"aluminum, recycled plastic, glass",0.24,1337.26,san jose,5.94,5.75
lego classic bricks box variant 127,kids & baby,recycled plastic,1.89,38.71,los angeles,6.49,5.07
green toys dump truck variant 128,kids & baby,recycled plastic,1.37,43.94,san diego,5.56,4.8
lego classic bricks box variant 129,kids & baby,recycled plastic,1.78,38.7,los angeles,5.57,4.75
lego classic bricks box variant 130,kids & baby,recycled plastic,2.03,48.1,los angeles,5.99,4.9
google pixel 8 pro variant 131,mobiles,"recycled plastic, glass",0.18,1190.53,mountain view,6.99,5.31
apple macbook air m3 variant 132,laptops,"aluminum, glass",1.08,1329.51,cupertino,6.4,6.67
google pixel 8 pro variant 133,mobiles,"recycled plastic, glass",0.18,1145.42,mountain view,6.43,5.69
google pixel 8 pro variant 134,mobiles,"recycled plastic, glass",0.19,1216.53,mountain view,6.32,5.03
ninja air fryer max xl variant 135,appliances,"recycled plastic, stainless steel",5.36,110.33,seattle,6.41,6.13
allbirds tree runners variant 136,fashion,hemp,0.44,81.84,san francisco,10.24,2.36
allbirds tree runners variant 137,fashion,hemp,0.52,102.76,san francisco,9.65,1.46
lego classic bricks box variant 138,kids & baby,recycled plastic,1.54,54.27,los angeles,6.19,4.73
lego classic bricks box variant 139,kids & baby,recycled plastic,2.03,62.86,los angeles,6.38,4.96
allbirds tree runners variant 140,fashion,hemp,0.47,83.23,san francisco,9.64,1.91
instant pot duo variant 141,appliances,"stainless steel, plastic (abs, pvc)",4.3,150.0,boston,5.21,8.58
instant pot duo variant 142,appliances,"stainless steel, plastic (abs, pvc)",3.37,160.29,boston,4.82,8.0
apple macbook air m3 variant 143,laptops,"aluminum, glass",1.15,922.65,cupertino,6.73,6.91
melissa & doug wooden blocks variant 144,kids & baby,wood,2.02,53.53,denver,7.65,2.15
dyson purifier cool tp09 variant 145,appliances,"aluminum, plastic (abs, pvc)",3.85,635.3,chicago,4.23,9.14
google pixel 8 pro variant 146,mobiles,"recycled plastic, glass",0.17,1132.45,mountain view,6.09,5.33
instant pot duo variant 147,appliances,"stainless steel, plastic (abs, pvc)",4.06,124.67,boston,5.46,8.66
melissa & doug wooden blocks variant 148,kids & baby,wood,2.74,59.31,denver,8.13,2.31
allbirds tree runners variant 149,fashion,hemp,0.42,101.48,san francisco,9.81,2.13
hp spectre x360 variant 150,laptops,"aluminum, recycled plastic",1.4,1095.39,boston,5.76,7.21
allbirds tree runners variant 151,fashion,hemp,0.43,82.1,san francisco,10.36,1.7
instant pot duo variant 152,appliances,"stainless steel, plastic (abs, pvc)",4.13,112.56,boston,5.08,8.68
patagonia better sweater variant 153,fashion,recycled polyester (rpet),0.71,130.22,denver,5.51,4.09
allbirds tree runners variant 154,fashion,hemp,0.5,116.89,san francisco,9.91,1.54
ninja air fryer max xl variant 155,appliances,"recycled plastic, stainless steel",5.05,159.69,seattle,6.24,5.9
ninja air fryer max xl variant 156,appliances,"recycled plastic, stainless steel",4.23,153.24,seattle,6.23,6.48
hp spectre x360 variant 157,laptops,"aluminum, recycled plastic",1.4,1632.86,boston,5.55,7.02
levi’s 511 jeans variant 158,fashion,regular cotton,0.55,75.15,san francisco,6.59,4.08
hp spectre x360 variant 159,laptops,"aluminum, recycled plastic",1.43,1440.68,boston,6.1,6.68
apple iphone 15 pro variant 160,mobiles,"aluminum, glass",0.2,796.58,cupertino,6.2,6.76
ninja air fryer max xl variant 161,appliances,"recycled plastic, stainless steel",4.85,172.16,seattle,6.52,6.12
google pixel 8 pro variant 162,mobiles,"recycled plastic, glass",0.18,1140.46,mountain view,6.01,5.43
dell xps 13 variant 163,laptops,"aluminum, carbon fiber",1.02,1533.15,austin,4.96,8.12
hp spectre x360 variant 164,laptops,"aluminum, recycled plastic",1.62,1523.9,boston,6.17,7.09
apple macbook air m3 variant 165,laptops,"aluminum, glass",1.03,1128.7,cupertino,6.43,6.94
dell xps 13 variant 166,laptops,"aluminum, carbon fiber",1.07,1125.09,austin,5.26,8.79
dyson purifier cool tp09 variant 167,appliances,"aluminum, plastic (abs, pvc)",3.62,629.05,chicago,4.19,9.39
apple macbook air m3 variant 168,laptops,"aluminum, glass",1.11,1249.08,cupertino,6.35,6.9
dell xps 13 variant 169,laptops,"aluminum, carbon fiber",1.06,940.77,austin,5.49,8.65
instant pot duo variant 170,appliances,"stainless steel, plastic (abs, pvc)",3.43,143.03,boston,5.22,8.15
allbirds tree runners variant 171,fashion,hemp,0.45,87.4,san francisco,9.99,2.09
samsung galaxy s24 ultra variant 172,mobiles,"aluminum, recycled plastic, glass",0.22,1037.0,san jose,6.69,5.71
ninja air fryer max xl variant 173,appliances,"recycled plastic, stainless steel",5.47,104.6,seattle,6.92,5.84
green toys dump truck variant 174,kids & baby,recycled plastic,1.34,30.51,san diego,5.53,5.43
apple macbook air m3 variant 175,laptops,"aluminum, glass",1.22,1542.55,cupertino,6.91,6.82
patagonia better sweater variant 176,fashion,recycled polyester (rpet),0.78,144.99,denver,6.47,3.79
dyson purifier cool tp09 variant 177,appliances,"aluminum, plastic (abs, pvc)",4.39,436.78,chicago,4.07,9.15
dyson purifier cool tp09 variant 178,appliances,"aluminum, plastic (abs, pvc)",4.83,478.42,chicago,4.5,9.27
ninja air fryer max xl variant 179,appliances,"recycled plastic, stainless steel",5.49,163.95,seattle,6.13,6.23
dyson purifier cool tp09 variant 180,appliances,"aluminum, plastic (abs, pvc)",3.83,647.17,chicago,4.1,8.97
instant pot duo variant 181,appliances,"stainless steel, plastic (abs, pvc)",3.39,141.75,boston,5.46,8.04
green toys dump truck variant 182,kids & baby,recycled plastic,1.04,29.9,san diego,5.61,4.92
patagonia better sweater variant 183,fashion,recycled polyester (rpet),0.64,164.86,denver,5.79,4.24
apple iphone 15 pro variant 184,mobiles,"aluminum, glass",0.15,1269.1,cupertino,6.43,6.93
levi’s 511 jeans variant 185,fashion,regular cotton,0.54,69.62,san francisco,7.06,3.65
instant pot duo variant 186,appliances,"stainless steel, plastic (abs, pvc)",3.4,103.44,boston,5.08,7.94
dyson purifier cool tp09 variant 187,appliances,"aluminum, plastic (abs, pvc)",4.0,496.5,chicago,4.71,8.7
ninja air fryer max xl variant 188,appliances,"recycled plastic, stainless steel",4.55,162.78,seattle,6.55,6.59
lego classic bricks box variant 189,kids & baby,recycled plastic,1.78,50.98,los angeles,6.46,5.44
lego classic bricks box variant 190,kids & baby,recycled plastic,1.58,34.37,los angeles,5.79,5.04
levi’s 511 jeans variant 191,fashion,regular cotton,0.58,72.07,san francisco,7.39,3.59
green toys dump truck variant 192,kids & baby,recycled plastic,1.31,23.96,san diego,6.19,4.77
apple iphone 15 pro variant 193,mobiles,"aluminum, glass",0.2,1148.99,cupertino,6.39,6.54
samsung galaxy s24 ultra variant 194,mobiles,"aluminum, recycled plastic, glass",0.26,1280.62,san jose,5.99,6.56
apple iphone 15 pro variant 195,mobiles,"aluminum, glass",0.18,947.71,cupertino,6.76,6.49
instant pot duo variant 196,appliances,"stainless steel, plastic (abs, pvc)",3.78,131.22,boston,4.67,8.26
apple macbook air m3 variant 197,laptops,"aluminum, glass",1.42,1655.75,cupertino,6.99,6.42
levi’s 511 jeans variant 198,fashion,regular cotton,0.64,65.46,san francisco,6.54,3.49
apple macbook air m3 variant 199,laptops,"aluminum, glass",1.23,1208.77,cupertino,6.44,6.63
